id,has_contrast
286.png,1
287.png,1
288.png,1
289.png,1
28a.png,1
29.png,1
290.png,1
291.png,1
292.png,1
293.png,1
294.png,1
295.png,1
296.png,1
297.png,1
298.png,1
299.png,1
29a.png,1
2a.png,1
3-kopia.png,1
3.png,1
30.png,1
300.png,1
301.png,1
302.png,1
303.png,1
304.png,1
305.png,1
306.png,1
307.png,1
308.png,1
309.png,1
30a.png,1
31.png,1
310.png,1
311.png,1
312.png,1
313.png,1
314.png,1
315.png,1
316.png,1
317.png,1
318.png,1
319.png,1
31a.png,1
32.png,1
320.png,1
321.png,1
322.png,1
323.png,1
324.png,1
325.png,1
326.png,1
327.png,1
328.png,1
329.png,1
32a.png,1
33.png,1
330.png,1
331.png,1
332.png,1
333.png,1
334.png,1
335.png,1
336.png,1
337.png,1
338.png,1
339.png,1
33a.png,1
34.png,1
340.png,1
341.png,1
342.png,1
343.png,1
344.png,1
345.png,1
346.png,1
347.png,1
348.png,1
349.png,1
34a.png,1
35.png,1
350.png,1
351.png,1
352.png,1
353.png,1
354.png,1
355.png,1
356.png,1
357.png,1
358.png,1
359.png,1
35a.png,1
36.png,1
360.png,1
361.png,1
362.png,1
363.png,1
364.png,1
365.png,1
366.png,1
367.png,1
368.png,1
369.png,1
36a.png,1
37.png,1
370.png,1
371.png,1
372.png,1
373.png,1
374.png,1
375.png,1
376.png,1
377.png,1
378.png,1
379.png,1
37a.png,1
38.png,1
380.png,1
381.png,1
382.png,1
383.png,1
384.png,1
385.png,1
386.png,1
387.png,1
388.png,1
389.png,1
38a.png,1
39.png,1
390.png,1
391.png,1
392.png,1
393.png,1
394.png,1
395.png,1
396.png,1
397.png,1
398.png,1
399.png,1
39a.png,1
3a.png,1
4-kopia.png,1
4.png,1
40.png,1
400.png,1
401.png,1
402.png,1
403.png,1
404.png,1
405.png,1
406.png,1
407.png,1
408.png,1
409.png,1
40a.png,1
41.png,1
410.png,1
411.png,1
412.png,1
413.png,1
414.png,1
415.png,1
416.png,1
417.png,1
418.png,1
419.png,1
41a.png,1
42.png,1
420.png,1
421.png,1
422.png,1
423.png,1
424.png,1
425.png,1
426.png,1
42a.png,1
43.png,1
43a.png,1
44.png,1
44a.png,1
45.png,1
45a.png,1
46.png,1
46a.png,1
47.png,1
47a.png,1
48.png,1
48a.png,1
49.png,1
49a.png,1
4a.png,1
5-kopia.png,1
5.png,1
50.png,0
50a.png,1
51.png,0
51a.png,1
52.png,0
52a.png,1
53.png,0
53a.png,1
54.png,0
54a.png,1
55.png,0
55a.png,1
56.png,0
56a.png,1
57.png,0
57a.png,1
58.png,0
58a.png,1
59.png,0
59a.png,1
5a.png,1
6-kopia.png,1
6.png,1
60.png,0
60a.png,1
61.png,0
61a.png,1
62.png,0
62a.png,1
63.png,0
63a.png,1
64.png,0
64a.png,1
65.png,0
65a.png,1
66.png,0
66a.png,1
67.png,0
67a.png,1
68.png,0
68a.png,1
69.png,0
69a.png,1
6a.png,1
7-kopia.png,1
7.png,1
70.png,0
70a.png,1
71.png,0
71a.png,1
72.png,0
72a.png,1
73.png,0
73a.png,1
74.png,0
74a.png,1
75.png,0
75a.png,1
76.png,0
76a.png,1
77.png,0
77a.png,1
78.png,0
78a.png,1
79.png,0
7a.png,1
8-kopia.png,1
8.png,1
80.png,0
81.png,0
82.png,0
83.png,0
84.png,0
85.png,0
86.png,0
87.png,0
88.png,0
89.png,0
8a.png,1
9-kopia.png,1
9.png,1
90.png,0
91.png,0
92.png,0
93.png,0
94.png,0
95.png,0
96.png,0
97.png,0
98.png,0
99.png,0
9a.png,1
a0.png,1
a1.png,1
a2.png,1
a3.png,1
a4.png,1
a5.png,1
a6.png,1
a7.png,1
a8.png,1
a9.png,1
a10.png,1
a11.png,1
a12.png,1
a13.png,1
a14.png,1
a15.png,1
a16.png,1
a17.png,1
a18.png,1
a19.png,1
a20.png,1
a21.png,1
a22.png,1
a23.png,1
a24.png,1
a25.png,1
a26.png,1
a27.png,1
a28.png,1
a29.png,1
b0.png,1
b1.png,1
b10.png,1
b11.png,1
b12.png,1
b13.png,1
b14.png,1
b15.png,1
b16.png,1
b17.png,1
b18.png,1
b19.png,1
b2.png,1
b20.png,1
b21.png,1
b22.png,1
b23.png,1
b24.png,1
b25.png,1
b26.png,1
b27.png,1
b28.png,1
b29.png,1
b3.png,1
b30.png,1
b31.png,1
b32.png,1
b33.png,1
b34.png,1
b35.png,1
b36.png,1
b37.png,1
b38.png,1
b39.png,1
b4.png,1
b40.png,1
b41.png,1
b42.png,1
b43.png,1
b44.png,1
b45.png,1
b46.png,1
b47.png,1
b48.png,1
b49.png,1
b5.png,1
b50.png,1
b51.png,1
b52.png,1
b53.png,1
b54.png,1
b55.png,1
b56.png,1
b57.png,1
b58.png,1
b59.png,1
b6.png,1
b60.png,1
b61.png,1
b62.png,1
b63.png,1
b64.png,1
b65.png,1
b66.png,1
b7.png,1
b8.png,1
b9.png,1
